emojiDescription,streamApiEncodings,restApiEncodings
LIGHT RAIL,<ed><a0><bd><ed><ba><88>,<f0><9f><9a><88>
LINK SYMBOL,<ed><a0><bd><ed><b4><97>,<f0><9f><94><97>
LIPSTICK,<ed><a0><bd><ed><b2><84>,<f0><9f><92><84>
LOCK,<ed><a0><bd><ed><b4><92>,<f0><9f><94><92>
LOCK WITH INK PEN,<ed><a0><bd><ed><b4><8f>,<f0><9f><94><8f>
LOLLIPOP,<ed><a0><bc><ed><bd><ad>,<f0><9f><8d><ad>
LOUDLY CRYING FACE,<ed><a0><bd><ed><b8><ad>,<f0><9f><98><ad>
LOVE HOTEL,<ed><a0><bc><ed><bf><a9>,<f0><9f><8f><a9>
LOVE LETTER,<ed><a0><bd><ed><b2><8c>,<f0><9f><92><8c>
LOW BRIGHTNESS SYMBOL,<ed><a0><bd><ed><b4><85>,<f0><9f><94><85>
MAHJONG TILE RED DRAGON,<ed><a0><bc><ed><b0><84>,<f0><9f><80><84>
MAN,<ed><a0><bd><ed><b1><a8>,<f0><9f><91><a8>
MAN AND WOMAN HOLDING HANDS,<ed><a0><bd><ed><b1><ab>,<f0><9f><91><ab>
MAN WITH GUA PI MAO,<ed><a0><bd><ed><b1><b2>,<f0><9f><91><b2>
MAN WITH TURBAN,<ed><a0><bd><ed><b1><b3>,<f0><9f><91><b3>
MANS SHOE,<ed><a0><bd><ed><b1><9e>,<f0><9f><91><9e>
MAPLE LEAF,<ed><a0><bc><ed><bd><81>,<f0><9f><8d><81>
MEAT ON BONE,<ed><a0><bc><ed><bd><96>,<f0><9f><8d><96>
MEDIUM BLACK CIRCLE,<e2><9a><ab>,<e2><9a><ab>
MEDIUM WHITE CIRCLE,<e2><9a><aa>,<e2><9a><aa>
MELON,<ed><a0><bc><ed><bd><88>,<f0><9f><8d><88>
MEMO,<ed><a0><bd><ed><b3><9d>,<f0><9f><93><9d>
MENS SYMBOL,<ed><a0><bd><ed><ba><b9>,<f0><9f><9a><b9>
METRO,<ed><a0><bd><ed><ba><87>,<f0><9f><9a><87>
MICROPHONE,<ed><a0><bc><ed><be><a4>,<f0><9f><8e><a4>
MICROSCOPE,<ed><a0><bd><ed><b4><ac>,<f0><9f><94><ac>
MILKY WAY,<ed><a0><bc><ed><bc><8c>,<f0><9f><8c><8c>
MINIBUS,<ed><a0><bd><ed><ba><90>,<f0><9f><9a><90>
MINIDISC,<ed><a0><bd><ed><b2><bd>,<f0><9f><92><bd>
MOBILE PHONE,<ed><a0><bd><ed><b3><b1>,<f0><9f><93><b1>
MOBILE PHONE OFF,<ed><a0><bd><ed><b3><b4>,<f0><9f><93><b4>
MOBILE PHONE WITH RIGHTWARDS ARROW AT LEFT,<ed><a0><bd><ed><b3><b2>,<f0><9f><93><b2>
MONEY BAG,<ed><a0><bd><ed><b2><b0>,<f0><9f><92><b0>
MONEY WITH WINGS,<ed><a0><bd><ed><b2><b8>,<f0><9f><92><b8>
MONKEY,<ed><a0><bd><ed><b0><92>,<f0><9f><90><92>
MONKEY FACE,<ed><a0><bd><ed><b0><b5>,<f0><9f><90><b5>
MONORAIL,<ed><a0><bd><ed><ba><9d>,<f0><9f><9a><9d>
MOON VIEWING CEREMONY,<ed><a0><bc><ed><be><91>,<f0><9f><8e><91>
MOUNT FUJI,<ed><a0><bd><ed><b7><bb>,<f0><9f><97><bb>
MOUNTAIN BICYCLIST,<ed><a0><bd><ed><ba><b5>,<f0><9f><9a><b5>
MOUNTAIN CABLEWAY,<ed><a0><bd><ed><ba><a0>,<f0><9f><9a><a0>
MOUNTAIN RAILWAY,<ed><a0><bd><ed><ba><9e>,<f0><9f><9a><9e>
MOUSE,<ed><a0><bd><ed><b0><81>,<f0><9f><90><81>
MOUSE FACE,<ed><a0><bd><ed><b0><ad>,<f0><9f><90><ad>
MOUTH,<ed><a0><bd><ed><b1><84>,<f0><9f><91><84>
MOVIE CAMERA,<ed><a0><bc><ed><be><a5>,<f0><9f><8e><a5>
MOYAI,<ed><a0><bd><ed><b7><bf>,<f0><9f><97><bf>
MULTIPLE MUSICAL NOTES,<ed><a0><bc><ed><be><b6>,<f0><9f><8e><b6>
MUSHROOM,<ed><a0><bc><ed><bd><84>,<f0><9f><8d><84>
MUSICAL KEYBOARD,<ed><a0><bc><ed><be><b9>,<f0><9f><8e><b9>
MUSICAL NOTE,<ed><a0><bc><ed><be><b5>,<f0><9f><8e><b5>
MUSICAL SCORE,<ed><a0><bc><ed><be><bc>,<f0><9f><8e><bc>
NAIL POLISH,<ed><a0><bd><ed><b2><85>,<f0><9f><92><85>
NAME BADGE,<ed><a0><bd><ed><b3><9b>,<f0><9f><93><9b>
NECKTIE,<ed><a0><bd><ed><b1><94>,<f0><9f><91><94>
NEGATIVE SQUARED AB,<ed><a0><bc><ed><b6><8e>,<f0><9f><86><8e>
NEGATIVE SQUARED CROSS MARK,<e2><9d><8e>,<e2><9d><8e>
NEGATIVE SQUARED LATIN CAPITAL LETTER A,<ed><a0><bc><ed><b5><b0>,<f0><9f><85><b0>
NEGATIVE SQUARED LATIN CAPITAL LETTER B,<ed><a0><bc><ed><b5><b1>,<f0><9f><85><b1>
NEGATIVE SQUARED LATIN CAPITAL LETTER O,<ed><a0><bc><ed><b5><be>,<f0><9f><85><be>
NEGATIVE SQUARED LATIN CAPITAL LETTER P,<ed><a0><bc><ed><b5><bf>,<f0><9f><85><bf>
NEUTRAL FACE,<ed><a0><bd><ed><b8><90>,<f0><9f><98><90>
NEW MOON SYMBOL,<ed><a0><bc><ed><bc><91>,<f0><9f><8c><91>
NEW MOON WITH FACE,<ed><a0><bc><ed><bc><9a>,<f0><9f><8c><9a>
NEWSPAPER,<ed><a0><bd><ed><b3><b0>,<f0><9f><93><b0>
NIGHT WITH STARS,<ed><a0><bc><ed><bc><83>,<f0><9f><8c><83>
NO BICYCLES,<ed><a0><bd><ed><ba><b3>,<f0><9f><9a><b3>
NO ENTRY,<e2><9b><94>,<e2><9b><94>
NO ENTRY SIGN,<ed><a0><bd><ed><ba><ab>,<f0><9f><9a><ab>
NO MOBILE PHONES,<ed><a0><bd><ed><b3><b5>,<f0><9f><93><b5>
NO ONE UNDER EIGHTEEN SYMBOL,<ed><a0><bd><ed><b4><9e>,<f0><9f><94><9e>
NO PEDESTRIANS,<ed><a0><bd><ed><ba><b7>,<f0><9f><9a><b7>
NO SMOKING SYMBOL,<ed><a0><bd><ed><ba><ad>,<f0><9f><9a><ad>
NON-POTABLE WATER SYMBOL,<ed><a0><bd><ed><ba><b1>,<f0><9f><9a><b1>
NORTH EAST ARROW,<e2><86><97>,<e2><86><97>
NORTH WEST ARROW,<e2><86><96>,<e2><86><96>
NOSE,<ed><a0><bd><ed><b1><83>,<f0><9f><91><83>
NOTEBOOK,<ed><a0><bd><ed><b3><93>,<f0><9f><93><93>
NOTEBOOK WITH DECORATIVE COVER,<ed><a0><bd><ed><b3><94>,<f0><9f><93><94>
NUMBER SIGN + COMBINING ENCLOSING KEYCAP,#<e2><83><a3>,<23><e2><83><a3>
NUT AND BOLT,<ed><a0><bd><ed><b4><a9>,<f0><9f><94><a9>
OCTOPUS,<ed><a0><bd><ed><b0><99>,<f0><9f><90><99>
ODEN,<ed><a0><bc><ed><bd><a2>,<f0><9f><8d><a2>
OFFICE BUILDING,<ed><a0><bc><ed><bf><a2>,<f0><9f><8f><a2>
OK HAND SIGN,<ed><a0><bd><ed><b1><8c>,<f0><9f><91><8c>
OLDER MAN,<ed><a0><bd><ed><b1><b4>,<f0><9f><91><b4>
OLDER WOMAN,<ed><a0><bd><ed><b1><b5>,<f0><9f><91><b5>
ON WITH EXCLAMATION MARK WITH LEFT RIGHT ARROW ABOVE,<ed><a0><bd><ed><b4><9b>,<f0><9f><94><9b>
ONCOMING AUTOMOBILE,<ed><a0><bd><ed><ba><98>,<f0><9f><9a><98>
ONCOMING BUS,<ed><a0><bd><ed><ba><8d>,<f0><9f><9a><8d>
ONCOMING POLICE CAR,<ed><a0><bd><ed><ba><94>,<f0><9f><9a><94>
ONCOMING TAXI,<ed><a0><bd><ed><ba><96>,<f0><9f><9a><96>
OPEN BOOK,<ed><a0><bd><ed><b3><96>,<f0><9f><93><96>
OPEN FILE FOLDER,<ed><a0><bd><ed><b3><82>,<f0><9f><93><82>
OPEN HANDS SIGN,<ed><a0><bd><ed><b1><90>,<f0><9f><91><90>
OPEN LOCK,<ed><a0><bd><ed><b4><93>,<f0><9f><94><93>
OPEN MAILBOX WITH LOWERED FLAG,<ed><a0><bd><ed><b3><ad>,<f0><9f><93><ad>
OPEN MAILBOX WITH RAISED FLAG,<ed><a0><bd><ed><b3><ac>,<f0><9f><93><ac>
OPHIUCHUS,<e2><9b><8e>,<e2><9b><8e>
OPTICAL DISC,<ed><a0><bd><ed><b2><bf>,<f0><9f><92><bf>
ORANGE BOOK,<ed><a0><bd><ed><b3><99>,<f0><9f><93><99>
OUTBOX TRAY,<ed><a0><bd><ed><b3><a4>,<f0><9f><93><a4>
OX,<ed><a0><bd><ed><b0><82>,<f0><9f><90><82>
PACKAGE,<ed><a0><bd><ed><b3><a6>,<f0><9f><93><a6>
PAGE FACING UP,<ed><a0><bd><ed><b3><84>,<f0><9f><93><84>
PAGE WITH CURL,<ed><a0><bd><ed><b3><83>,<f0><9f><93><83>
PAGER,<ed><a0><bd><ed><b3><9f>,<f0><9f><93><9f>
PALM TREE,<ed><a0><bc><ed><bc><b4>,<f0><9f><8c><b4>
PANDA FACE,<ed><a0><bd><ed><b0><bc>,<f0><9f><90><bc>
PAPERCLIP,<ed><a0><bd><ed><b3><8e>,<f0><9f><93><8e>
PART ALTERNATION MARK,<e3><80><bd>,<e3><80><bd>
PARTY POPPER,<ed><a0><bc><ed><be><89>,<f0><9f><8e><89>
PASSPORT CONTROL,<ed><a0><bd><ed><bb><82>,<f0><9f><9b><82>
PAW PRINTS,<ed><a0><bd><ed><b0><be>,<f0><9f><90><be>
PEACH,<ed><a0><bc><ed><bd><91>,<f0><9f><8d><91>
PEAR,<ed><a0><bc><ed><bd><90>,<f0><9f><8d><90>
PEDESTRIAN,<ed><a0><bd><ed><ba><b6>,<f0><9f><9a><b6>
PENCIL,<e2><9c><8f>,<e2><9c><8f>
PENGUIN,<ed><a0><bd><ed><b0><a7>,<f0><9f><90><a7>
PENSIVE FACE,<ed><a0><bd><ed><b8><94>,<f0><9f><98><94>
PERFORMING ARTS,<ed><a0><bc><ed><be><ad>,<f0><9f><8e><ad>
PERSEVERING FACE,<ed><a0><bd><ed><b8><a3>,<f0><9f><98><a3>
PERSON BOWING DEEPLY,<ed><a0><bd><ed><b9><87>,<f0><9f><99><87>
PERSON FROWNING,<ed><a0><bd><ed><b9><8d>,<f0><9f><99><8d>
PERSON RAISING BOTH HANDS IN CELEBRATION,<ed><a0><bd><ed><b9><8c>,<f0><9f><99><8c>
PERSON WITH BLOND HAIR,<ed><a0><bd><ed><b1><b1>,<f0><9f><91><b1>
PERSON WITH FOLDED HANDS,<ed><a0><bd><ed><b9><8f>,<f0><9f><99><8f>
PERSON WITH POUTING FACE,<ed><a0><bd><ed><b9><8e>,<f0><9f><99><8e>
PERSONAL COMPUTER,<ed><a0><bd><ed><b2><bb>,<f0><9f><92><bb>
PIG,<ed><a0><bd><ed><b0><96>,<f0><9f><90><96>
PIG FACE,<ed><a0><bd><ed><b0><b7>,<f0><9f><90><b7>
PIG NOSE,<ed><a0><bd><ed><b0><bd>,<f0><9f><90><bd>
PILE OF POO,<ed><a0><bd><ed><b2><a9>,<f0><9f><92><a9>
PILL,<ed><a0><bd><ed><b2><8a>,<f0><9f><92><8a>
PINE DECORATION,<ed><a0><bc><ed><be><8d>,<f0><9f><8e><8d>
PINEAPPLE,<ed><a0><bc><ed><bd><8d>,<f0><9f><8d><8d>
PISCES,<e2><99><93>,<e2><99><93>
PISTOL,<ed><a0><bd><ed><b4><ab>,<f0><9f><94><ab>
PLAYING CARD BLACK JOKER,<ed><a0><bc><ed><b3><8f>,<f0><9f><83><8f>
POLICE CAR,<ed><a0><bd><ed><ba><93>,<f0><9f><9a><93>
POLICE CARS REVOLVING LIGHT,<ed><a0><bd><ed><ba><a8>,<f0><9f><9a><a8>
POLICE OFFICER,<ed><a0><bd><ed><b1><ae>,<f0><9f><91><ae>
POODLE,<ed><a0><bd><ed><b0><a9>,<f0><9f><90><a9>
POSTAL HORN,<ed><a0><bd><ed><b3><af>,<f0><9f><93><af>
POSTBOX,<ed><a0><bd><ed><b3><ae>,<f0><9f><93><ae>
POT OF FOOD,<ed><a0><bc><ed><bd><b2>,<f0><9f><8d><b2>
POTABLE WATER SYMBOL,<ed><a0><bd><ed><ba><b0>,<f0><9f><9a><b0>
POUCH,<ed><a0><bd><ed><b1><9d>,<f0><9f><91><9d>
POULTRY LEG,<ed><a0><bc><ed><bd><97>,<f0><9f><8d><97>
POUTING CAT FACE,<ed><a0><bd><ed><b8><be>,<f0><9f><98><be>
POUTING FACE,<ed><a0><bd><ed><b8><a1>,<f0><9f><98><a1>
PRINCESS,<ed><a0><bd><ed><b1><b8>,<f0><9f><91><b8>
PUBLIC ADDRESS LOUDSPEAKER,<ed><a0><bd><ed><b3><a2>,<f0><9f><93><a2>
PURPLE HEART,<ed><a0><bd><ed><b2><9c>,<f0><9f><92><9c>
PURSE,<ed><a0><bd><ed><b1><9b>,<f0><9f><91><9b>
PUSHPIN,<ed><a0><bd><ed><b3><8c>,<f0><9f><93><8c>
PUT LITTER IN ITS PLACE SYMBOL,<ed><a0><bd><ed><ba><ae>,<f0><9f><9a><ae>
RABBIT,<ed><a0><bd><ed><b0><87>,<f0><9f><90><87>
RABBIT FACE,<ed><a0><bd><ed><b0><b0>,<f0><9f><90><b0>
RADIO,<ed><a0><bd><ed><b3><bb>,<f0><9f><93><bb>
RADIO BUTTON,<ed><a0><bd><ed><b4><98>,<f0><9f><94><98>
RAILWAY CAR,<ed><a0><bd><ed><ba><83>,<f0><9f><9a><83>
RAINBOW,<ed><a0><bc><ed><bc><88>,<f0><9f><8c><88>
RAISED FIST,<e2><9c><8a>,<e2><9c><8a>
RAISED HAND,<e2><9c><8b>,<e2><9c><8b>
RAM,<ed><a0><bd><ed><b0><8f>,<f0><9f><90><8f>
RAT,<ed><a0><bd><ed><b0><80>,<f0><9f><90><80>
RECREATIONAL VEHICLE,<ed><a0><bd><ed><ba><99>,<f0><9f><9a><99>
RED APPLE,<ed><a0><bc><ed><bd><8e>,<f0><9f><8d><8e>
REGIONAL INDICATOR SYMBOL LETTER C + REGIONAL INDICATOR SYMBOL LETTER N,<ed><a0><bc><ed><b7><a8><ed><a0><bc><ed><b7><b3>,<f0><9f><87><a8><f0><9f><87><b3>
REGIONAL INDICATOR SYMBOL LETTER D + REGIONAL INDICATOR SYMBOL LETTER E,<ed><a0><bc><ed><b7><a9><ed><a0><bc><ed><b7><aa>,<f0><9f><87><a9><f0><9f><87><aa>
REGIONAL INDICATOR SYMBOL LETTER E + REGIONAL INDICATOR SYMBOL LETTER S,<ed><a0><bc><ed><b7><aa><ed><a0><bc><ed><b7><b8>,<f0><9f><87><aa><f0><9f><87><b8>
REGIONAL INDICATOR SYMBOL LETTER F + REGIONAL INDICATOR SYMBOL LETTER R,<ed><a0><bc><ed><b7><ab><ed><a0><bc><ed><b7><b7>,<f0><9f><87><ab><f0><9f><87><b7>
REGIONAL INDICATOR SYMBOL LETTER G + REGIONAL INDICATOR SYMBOL LETTER B,<ed><a0><bc><ed><b7><ac><ed><a0><bc><ed><b7><a7>,<f0><9f><87><ac><f0><9f><87><a7>
REGIONAL INDICATOR SYMBOL LETTER I + REGIONAL INDICATOR SYMBOL LETTER T,<ed><a0><bc><ed><b7><ae><ed><a0><bc><ed><b7><b9>,<f0><9f><87><ae><f0><9f><87><b9>
REGIONAL INDICATOR SYMBOL LETTER J + REGIONAL INDICATOR SYMBOL LETTER P,<ed><a0><bc><ed><b7><af><ed><a0><bc><ed><b7><b5>,<f0><9f><87><af><f0><9f><87><b5>
REGIONAL INDICATOR SYMBOL LETTER K + REGIONAL INDICATOR SYMBOL LETTER R,<ed><a0><bc><ed><b7><b0><ed><a0><bc><ed><b7><b7>,<f0><9f><87><b0><f0><9f><87><b7>
REGIONAL INDICATOR SYMBOL LETTER R + REGIONAL INDICATOR SYMBOL LETTER U,<ed><a0><bc><ed><b7><b7><ed><a0><bc><ed><b7><ba>,<f0><9f><87><b7><f0><9f><87><ba>
REGIONAL INDICATOR SYMBOL LETTER U + REGIONAL INDICATOR SYMBOL LETTER S,<ed><a0><bc><ed><b7><ba><ed><a0><bc><ed><b7><b8>,<f0><9f><87><ba><f0><9f><87><b8>
REGISTERED SIGN,<c2><ae>,<c2><ae>
RELIEVED FACE,<ed><a0><bd><ed><b8><8c>,<f0><9f><98><8c>
RESTROOM,<ed><a0><bd><ed><ba><bb>,<f0><9f><9a><bb>
REVOLVING HEARTS,<ed><a0><bd><ed><b2><9e>,<f0><9f><92><9e>
RIBBON,<ed><a0><bc><ed><be><80>,<f0><9f><8e><80>
RICE BALL,<ed><a0><bc><ed><bd><99>,<f0><9f><8d><99>
RICE CRACKER,<ed><a0><bc><ed><bd><98>,<f0><9f><8d><98>
RIGHT-POINTING MAGNIFYING GLASS,<ed><a0><bd><ed><b4><8e>,<f0><9f><94><8e>
RIGHTWARDS ARROW WITH HOOK,<e2><86><aa>,<e2><86><aa>
RING,<ed><a0><bd><ed><b2><8d>,<f0><9f><92><8d>
ROASTED SWEET POTATO,<ed><a0><bc><ed><bd><a0>,<f0><9f><8d><a0>
ROCKET,<ed><a0><bd><ed><ba><80>,<f0><9f><9a><80>
ROLLER COASTER,<ed><a0><bc><ed><be><a2>,<f0><9f><8e><a2>
ROOSTER,<ed><a0><bd><ed><b0><93>,<f0><9f><90><93>
ROSE,<ed><a0><bc><ed><bc><b9>,<f0><9f><8c><b9>
ROUND PUSHPIN,<ed><a0><bd><ed><b3><8d>,<f0><9f><93><8d>
ROWBOAT,<ed><a0><bd><ed><ba><a3>,<f0><9f><9a><a3>
RUGBY FOOTBALL,<ed><a0><bc><ed><bf><89>,<f0><9f><8f><89>
RUNNER,<ed><a0><bc><ed><bf><83>,<f0><9f><8f><83>
RUNNING SHIRT WITH SASH,<ed><a0><bc><ed><be><bd>,<f0><9f><8e><bd>
