emojiDescription,streamApiEncodings,restApiEncodings
SHOOTING STAR,<ed><a0><bc><ed><bc><a0>,<f0><9f><8c><a0>
SHORTCAKE,<ed><a0><bc><ed><bd><b0>,<f0><9f><8d><b0>
SHOWER,<ed><a0><bd><ed><ba><bf>,<f0><9f><9a><bf>
SILHOUETTE OF JAPAN,<ed><a0><bd><ed><b7><be>,<f0><9f><97><be>
SIX POINTED STAR WITH MIDDLE DOT,<ed><a0><bd><ed><b4><af>,<f0><9f><94><af>
SKI AND SKI BOOT,<ed><a0><bc><ed><be><bf>,<f0><9f><8e><bf>
SKULL,<ed><a0><bd><ed><b2><80>,<f0><9f><92><80>
SLEEPING FACE,<ed><a0><bd><ed><b8><b4>,<f0><9f><98><b4>
SLEEPING SYMBOL,<ed><a0><bd><ed><b2><a4>,<f0><9f><92><a4>
SLEEPY FACE,<ed><a0><bd><ed><b8><aa>,<f0><9f><98><aa>
SLICE OF PIZZA,<ed><a0><bc><ed><bd><95>,<f0><9f><8d><95>
SLOT MACHINE,<ed><a0><bc><ed><be><b0>,<f0><9f><8e><b0>
SMALL BLUE DIAMOND,<ed><a0><bd><ed><b4><b9>,<f0><9f><94><b9>
SMALL ORANGE DIAMOND,<ed><a0><bd><ed><b4><b8>,<f0><9f><94><b8>
SMILING CAT FACE WITH HEART-SHAPED EYES,<ed><a0><bd><ed><b8><bb>,<f0><9f><98><bb>
SMILING CAT FACE WITH OPEN MOUTH,<ed><a0><bd><ed><b8><ba>,<f0><9f><98><ba>
SMILING FACE WITH HALO,<ed><a0><bd><ed><b8><87>,<f0><9f><98><87>
SMILING FACE WITH HEART-SHAPED EYES,<ed><a0><bd><ed><b8><8d>,<f0><9f><98><8d>
SMILING FACE WITH HORNS,<ed><a0><bd><ed><b8><88>,<f0><9f><98><88>
SMILING FACE WITH OPEN MOUTH,<ed><a0><bd><ed><b8><83>,<f0><9f><98><83>
SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,<ed><a0><bd><ed><b8><85>,<f0><9f><98><85>
SMILING FACE WITH OPEN MOUTH AND SMILING EYES,<ed><a0><bd><ed><b8><84>,<f0><9f><98><84>
SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES,<ed><a0><bd><ed><b8><86>,<f0><9f><98><86>
SMILING FACE WITH SMILING EYES,<ed><a0><bd><ed><b8><8a>,<f0><9f><98><8a>
SMILING FACE WITH SUNGLASSES,<ed><a0><bd><ed><b8><8e>,<f0><9f><98><8e>
SMIRKING FACE,<ed><a0><bd><ed><b8><8f>,<f0><9f><98><8f>
SMOKING SYMBOL,<ed><a0><bd><ed><ba><ac>,<f0><9f><9a><ac>
SNAIL,<ed><a0><bd><ed><b0><8c>,<f0><9f><90><8c>
SNAKE,<ed><a0><bd><ed><b0><8d>,<f0><9f><90><8d>
SNOWBOARDER,<ed><a0><bc><ed><bf><82>,<f0><9f><8f><82>
SNOWFLAKE,<e2><9d><84>,<e2><9d><84>
SNOWMAN WITHOUT SNOW,<e2><9b><84>,<e2><9b><84>
SOCCER BALL,<e2><9a><bd>,<e2><9a><bd>
SOFT ICE CREAM,<ed><a0><bc><ed><bd><a6>,<f0><9f><8d><a6>
SOON WITH RIGHTWARDS ARROW ABOVE,<ed><a0><bd><ed><b4><9c>,<f0><9f><94><9c>
SOUTH EAST ARROW,<e2><86><98>,<e2><86><98>
SOUTH WEST ARROW,<e2><86><99>,<e2><86><99>
SPAGHETTI,<ed><a0><bc><ed><bd><9d>,<f0><9f><8d><9d>
SPARKLE,<e2><9d><87>,<e2><9d><87>
SPARKLES,<e2><9c><a8>,<e2><9c><a8>
SPARKLING HEART,<ed><a0><bd><ed><b2><96>,<f0><9f><92><96>
SPEAK-NO-EVIL MONKEY,<ed><a0><bd><ed><b9><8a>,<f0><9f><99><8a>
SPEAKER WITH CANCELLATION STROKE,<ed><a0><bd><ed><b4><87>,<f0><9f><94><87>
SPEAKER WITH ONE SOUND WAVE,<ed><a0><bd><ed><b4><89>,<f0><9f><94><89>
SPEAKER WITH THREE SOUND WAVES,<ed><a0><bd><ed><b4><8a>,<f0><9f><94><8a>
SPEECH BALLOON,<ed><a0><bd><ed><b2><ac>,<f0><9f><92><ac>
SPEEDBOAT,<ed><a0><bd><ed><ba><a4>,<f0><9f><9a><a4>
SPIRAL SHELL,<ed><a0><bd><ed><b0><9a>,<f0><9f><90><9a>
SPLASHING SWEAT SYMBOL,<ed><a0><bd><ed><b2><a6>,<f0><9f><92><a6>
SPOUTING WHALE,<ed><a0><bd><ed><b0><b3>,<f0><9f><90><b3>
SQUARED CJK UNIFIED IDEOGRAPH-5272,<ed><a0><bc><ed><b8><b9>,<f0><9f><88><b9>
SQUARED CJK UNIFIED IDEOGRAPH-5408,<ed><a0><bc><ed><b8><b4>,<f0><9f><88><b4>
SQUARED CJK UNIFIED IDEOGRAPH-55B6,<ed><a0><bc><ed><b8><ba>,<f0><9f><88><ba>
SQUARED CJK UNIFIED IDEOGRAPH-6307,<ed><a0><bc><ed><b8><af>,<f0><9f><88><af>
SQUARED CJK UNIFIED IDEOGRAPH-6708,<ed><a0><bc><ed><b8><b7>,<f0><9f><88><b7>
SQUARED CJK UNIFIED IDEOGRAPH-6709,<ed><a0><bc><ed><b8><b6>,<f0><9f><88><b6>
SQUARED CJK UNIFIED IDEOGRAPH-6E80,<ed><a0><bc><ed><b8><b5>,<f0><9f><88><b5>
SQUARED CJK UNIFIED IDEOGRAPH-7121,<ed><a0><bc><ed><b8><9a>,<f0><9f><88><9a>
SQUARED CJK UNIFIED IDEOGRAPH-7533,<ed><a0><bc><ed><b8><b8>,<f0><9f><88><b8>
SQUARED CJK UNIFIED IDEOGRAPH-7981,<ed><a0><bc><ed><b8><b2>,<f0><9f><88><b2>
SQUARED CJK UNIFIED IDEOGRAPH-7A7A,<ed><a0><bc><ed><b8><b3>,<f0><9f><88><b3>
SQUARED CL,<ed><a0><bc><ed><b6><91>,<f0><9f><86><91>
SQUARED COOL,<ed><a0><bc><ed><b6><92>,<f0><9f><86><92>
SQUARED FREE,<ed><a0><bc><ed><b6><93>,<f0><9f><86><93>
SQUARED ID,<ed><a0><bc><ed><b6><94>,<f0><9f><86><94>
SQUARED KATAKANA KOKO,<ed><a0><bc><ed><b8><81>,<f0><9f><88><81>
SQUARED KATAKANA SA,<ed><a0><bc><ed><b8><82>,<f0><9f><88><82>
SQUARED NEW,<ed><a0><bc><ed><b6><95>,<f0><9f><86><95>
SQUARED NG,<ed><a0><bc><ed><b6><96>,<f0><9f><86><96>
SQUARED OK,<ed><a0><bc><ed><b6><97>,<f0><9f><86><97>
SQUARED SOS,<ed><a0><bc><ed><b6><98>,<f0><9f><86><98>
SQUARED UP WITH EXCLAMATION MARK,<ed><a0><bc><ed><b6><99>,<f0><9f><86><99>
SQUARED VS,<ed><a0><bc><ed><b6><9a>,<f0><9f><86><9a>
STATION,<ed><a0><bd><ed><ba><89>,<f0><9f><9a><89>
STATUE OF LIBERTY,<ed><a0><bd><ed><b7><bd>,<f0><9f><97><bd>
STEAM LOCOMOTIVE,<ed><a0><bd><ed><ba><82>,<f0><9f><9a><82>
STEAMING BOWL,<ed><a0><bc><ed><bd><9c>,<f0><9f><8d><9c>
STRAIGHT RULER,<ed><a0><bd><ed><b3><8f>,<f0><9f><93><8f>
STRAWBERRY,<ed><a0><bc><ed><bd><93>,<f0><9f><8d><93>
SUN BEHIND CLOUD,<e2><9b><85>,<e2><9b><85>
SUN WITH FACE,<ed><a0><bc><ed><bc><9e>,<f0><9f><8c><9e>
SUNFLOWER,<ed><a0><bc><ed><bc><bb>,<f0><9f><8c><bb>
SUNRISE,<ed><a0><bc><ed><bc><85>,<f0><9f><8c><85>
SUNRISE OVER MOUNTAINS,<ed><a0><bc><ed><bc><84>,<f0><9f><8c><84>
SUNSET OVER BUILDINGS,<ed><a0><bc><ed><bc><87>,<f0><9f><8c><87>
SURFER,<ed><a0><bc><ed><bf><84>,<f0><9f><8f><84>
SUSHI,<ed><a0><bc><ed><bd><a3>,<f0><9f><8d><a3>
SUSPENSION RAILWAY,<ed><a0><bd><ed><ba><9f>,<f0><9f><9a><9f>
SWIMMER,<ed><a0><bc><ed><bf><8a>,<f0><9f><8f><8a>
SYRINGE,<ed><a0><bd><ed><b2><89>,<f0><9f><92><89>
T-SHIRT,<ed><a0><bd><ed><b1><95>,<f0><9f><91><95>
TANABATA TREE,<ed><a0><bc><ed><be><8b>,<f0><9f><8e><8b>
TANGERINE,<ed><a0><bc><ed><bd><8a>,<f0><9f><8d><8a>
TAURUS,<e2><99><89>,<e2><99><89>
TAXI,<ed><a0><bd><ed><ba><95>,<f0><9f><9a><95>
TEACUP WITHOUT HANDLE,<ed><a0><bc><ed><bd><b5>,<f0><9f><8d><b5>
TEAR-OFF CALENDAR,<ed><a0><bd><ed><b3><86>,<f0><9f><93><86>
TELEPHONE RECEIVER,<ed><a0><bd><ed><b3><9e>,<f0><9f><93><9e>
TELESCOPE,<ed><a0><bd><ed><b4><ad>,<f0><9f><94><ad>
TELEVISION,<ed><a0><bd><ed><b3><ba>,<f0><9f><93><ba>
TENNIS RACQUET AND BALL,<ed><a0><bc><ed><be><be>,<f0><9f><8e><be>
TENT,<e2><9b><ba>,<e2><9b><ba>
THOUGHT BALLOON,<ed><a0><bd><ed><b2><ad>,<f0><9f><92><ad>
THUMBS DOWN SIGN,<ed><a0><bd><ed><b1><8e>,<f0><9f><91><8e>
THUMBS UP SIGN,<ed><a0><bd><ed><b1><8d>,<f0><9f><91><8d>
TICKET,<ed><a0><bc><ed><be><ab>,<f0><9f><8e><ab>
TIGER,<ed><a0><bd><ed><b0><85>,<f0><9f><90><85>
TIGER FACE,<ed><a0><bd><ed><b0><af>,<f0><9f><90><af>
TIRED FACE,<ed><a0><bd><ed><b8><ab>,<f0><9f><98><ab>
TOILET,<ed><a0><bd><ed><ba><bd>,<f0><9f><9a><bd>
TOKYO TOWER,<ed><a0><bd><ed><b7><bc>,<f0><9f><97><bc>
TOMATO,<ed><a0><bc><ed><bd><85>,<f0><9f><8d><85>
TONGUE,<ed><a0><bd><ed><b1><85>,<f0><9f><91><85>
TOP HAT,<ed><a0><bc><ed><be><a9>,<f0><9f><8e><a9>
TOP WITH UPWARDS ARROW ABOVE,<ed><a0><bd><ed><b4><9d>,<f0><9f><94><9d>
TRACTOR,<ed><a0><bd><ed><ba><9c>,<f0><9f><9a><9c>
TRADE MARK SIGN,<e2><84><a2>,<e2><84><a2>
TRAIN,<ed><a0><bd><ed><ba><86>,<f0><9f><9a><86>
TRAM,<ed><a0><bd><ed><ba><8a>,<f0><9f><9a><8a>
TRIANGULAR FLAG ON POST,<ed><a0><bd><ed><ba><a9>,<f0><9f><9a><a9>
TRIANGULAR RULER,<ed><a0><bd><ed><b3><90>,<f0><9f><93><90>
TRIDENT EMBLEM,<ed><a0><bd><ed><b4><b1>,<f0><9f><94><b1>
TROLLEYBUS,<ed><a0><bd><ed><ba><8e>,<f0><9f><9a><8e>
TROPHY,<ed><a0><bc><ed><bf><86>,<f0><9f><8f><86>
TROPICAL DRINK,<ed><a0><bc><ed><bd><b9>,<f0><9f><8d><b9>
TROPICAL FISH,<ed><a0><bd><ed><b0><a0>,<f0><9f><90><a0>
TRUMPET,<ed><a0><bc><ed><be><ba>,<f0><9f><8e><ba>
TULIP,<ed><a0><bc><ed><bc><b7>,<f0><9f><8c><b7>
TURTLE,<ed><a0><bd><ed><b0><a2>,<f0><9f><90><a2>
TWISTED RIGHTWARDS ARROWS,<ed><a0><bd><ed><b4><80>,<f0><9f><94><80>
TWO HEARTS,<ed><a0><bd><ed><b2><95>,<f0><9f><92><95>
TWO MEN HOLDING HANDS,<ed><a0><bd><ed><b1><ac>,<f0><9f><91><ac>
TWO WOMEN HOLDING HANDS,<ed><a0><bd><ed><b1><ad>,<f0><9f><91><ad>
UMBRELLA WITH RAIN DROPS,<e2><98><94>,<e2><98><94>
UNAMUSED FACE,<ed><a0><bd><ed><b8><92>,<f0><9f><98><92>
UP DOWN ARROW,<e2><86><95>,<e2><86><95>
UP-POINTING RED TRIANGLE,<ed><a0><bd><ed><b4><ba>,<f0><9f><94><ba>
UP-POINTING SMALL RED TRIANGLE,<ed><a0><bd><ed><b4><bc>,<f0><9f><94><bc>
UPWARDS BLACK ARROW,<e2><ac><86>,<e2><ac><86>
VERTICAL TRAFFIC LIGHT,<ed><a0><bd><ed><ba><a6>,<f0><9f><9a><a6>
VIBRATION MODE,<ed><a0><bd><ed><b3><b3>,<f0><9f><93><b3>
VICTORY HAND,<e2><9c><8c>,<e2><9c><8c>
VIDEO CAMERA,<ed><a0><bd><ed><b3><b9>,<f0><9f><93><b9>
VIDEO GAME,<ed><a0><bc><ed><be><ae>,<f0><9f><8e><ae>
VIDEOCASSETTE,<ed><a0><bd><ed><b3><bc>,<f0><9f><93><bc>
VIOLIN,<ed><a0><bc><ed><be><bb>,<f0><9f><8e><bb>
VIRGO,<e2><99><8d>,<e2><99><8d>
VOLCANO,<ed><a0><bc><ed><bc><8b>,<f0><9f><8c><8b>
WANING CRESCENT MOON SYMBOL,<ed><a0><bc><ed><bc><98>,<f0><9f><8c><98>
WANING GIBBOUS MOON SYMBOL,<ed><a0><bc><ed><bc><96>,<f0><9f><8c><96>
WARNING SIGN,<e2><9a><a0>,<e2><9a><a0>
WATCH,<e2><8c><9a>,<e2><8c><9a>
WATER BUFFALO,<ed><a0><bd><ed><b0><83>,<f0><9f><90><83>
WATER CLOSET,<ed><a0><bd><ed><ba><be>,<f0><9f><9a><be>
WATER WAVE,<ed><a0><bc><ed><bc><8a>,<f0><9f><8c><8a>
WATERMELON,<ed><a0><bc><ed><bd><89>,<f0><9f><8d><89>
WAVING HAND SIGN,<ed><a0><bd><ed><b1><8b>,<f0><9f><91><8b>
WAVY DASH,<e3><80><b0>,<e3><80><b0>
WAXING CRESCENT MOON SYMBOL,<ed><a0><bc><ed><bc><92>,<f0><9f><8c><92>
WAXING GIBBOUS MOON SYMBOL,<ed><a0><bc><ed><bc><94>,<f0><9f><8c><94>
WEARY CAT FACE,<ed><a0><bd><ed><b9><80>,<f0><9f><99><80>
WEARY FACE,<ed><a0><bd><ed><b8><a9>,<f0><9f><98><a9>
WEDDING,<ed><a0><bd><ed><b2><92>,<f0><9f><92><92>
WHALE,<ed><a0><bd><ed><b0><8b>,<f0><9f><90><8b>
WHEELCHAIR SYMBOL,<e2><99><bf>,<e2><99><bf>
WHITE DOWN POINTING BACKHAND INDEX,<ed><a0><bd><ed><b1><87>,<f0><9f><91><87>
WHITE EXCLAMATION MARK ORNAMENT,<e2><9d><95>,<e2><9d><95>
WHITE FLOWER,<ed><a0><bd><ed><b2><ae>,<f0><9f><92><ae>
WHITE HEAVY CHECK MARK,<e2><9c><85>,<e2><9c><85>
WHITE LARGE SQUARE,<e2><ac><9c>,<e2><ac><9c>
WHITE LEFT POINTING BACKHAND INDEX,<ed><a0><bd><ed><b1><88>,<f0><9f><91><88>
WHITE MEDIUM SMALL SQUARE,<e2><97><bd>,<e2><97><bd>
WHITE MEDIUM SQUARE,<e2><97><bb>,<e2><97><bb>
WHITE MEDIUM STAR,<e2><ad><90>,<e2><ad><90>
WHITE QUESTION MARK ORNAMENT,<e2><9d><94>,<e2><9d><94>
WHITE RIGHT POINTING BACKHAND INDEX,<ed><a0><bd><ed><b1><89>,<f0><9f><91><89>
WHITE SMALL SQUARE,<e2><96><ab>,<e2><96><ab>
WHITE SMILING FACE,<e2><98><ba>,<e2><98><ba>
WHITE SQUARE BUTTON,<ed><a0><bd><ed><b4><b3>,<f0><9f><94><b3>
WHITE UP POINTING BACKHAND INDEX,<ed><a0><bd><ed><b1><86>,<f0><9f><91><86>
WHITE UP POINTING INDEX,<e2><98><9d>,<e2><98><9d>
WIND CHIME,<ed><a0><bc><ed><be><90>,<f0><9f><8e><90>
WINE GLASS,<ed><a0><bc><ed><bd><b7>,<f0><9f><8d><b7>
WINKING FACE,<ed><a0><bd><ed><b8><89>,<f0><9f><98><89>
WOLF FACE,<ed><a0><bd><ed><b0><ba>,<f0><9f><90><ba>
WOMAN,<ed><a0><bd><ed><b1><a9>,<f0><9f><91><a9>
WOMAN WITH BUNNY EARS,<ed><a0><bd><ed><b1><af>,<f0><9f><91><af>
WOMANS BOOTS,<ed><a0><bd><ed><b1><a2>,<f0><9f><91><a2>
WOMANS CLOTHES,<ed><a0><bd><ed><b1><9a>,<f0><9f><91><9a>
WOMANS HAT,<ed><a0><bd><ed><b1><92>,<f0><9f><91><92>
WOMANS SANDAL,<ed><a0><bd><ed><b1><a1>,<f0><9f><91><a1>
WOMENS SYMBOL,<ed><a0><bd><ed><ba><ba>,<f0><9f><9a><ba>
WORRIED FACE,<ed><a0><bd><ed><b8><9f>,<f0><9f><98><9f>
WRAPPED PRESENT,<ed><a0><bc><ed><be><81>,<f0><9f><8e><81>
WRENCH,<ed><a0><bd><ed><b4><a7>,<f0><9f><94><a7>
YELLOW HEART,<ed><a0><bd><ed><b2><9b>,<f0><9f><92><9b>
